TrainingUpdate,CriticLoss,CriticLoss1,CriticLoss2,ActorLoss,AlphaLoss,EntropyWeight,LogAlpha,QValue
91,0.016049597412347794,0.016079667955636978,0.01601952500641346,-4.356637001037598,1.0542391538619995,0.313184916973114,-1.1609615087509155,3.928910255432129
92,0.029487360268831253,0.029480483382940292,0.029494235292077065,-4.359570026397705,1.0573228597640991,0.31311362981796265,-1.161189079284668,3.928616762161255
93,0.06261598318815231,0.06260104477405548,0.06263092160224915,-4.352382659912109,1.0506384372711182,0.31304240226745605,-1.1614166498184204,3.9279708862304688
94,0.02537243440747261,0.025398539379239082,0.02534632757306099,-4.351312160491943,1.0494745969772339,0.31297120451927185,-1.1616441011428833,3.927922248840332
95,0.0349639467895031,0.03495251014828682,0.034975383430719376,-4.357766151428223,1.0559173822402954,0.31289997696876526,-1.1618716716766357,3.927790880203247
96,0.033034831285476685,0.033054616302251816,0.03301504999399185,-4.363967418670654,1.062209963798523,0.31282874941825867,-1.1620993614196777,3.9275569915771484
97,0.02054082229733467,0.02055046148598194,0.0205311831086874,-4.360213279724121,1.058201551437378,0.3127574920654297,-1.1623271703720093,3.927668809890747
98,0.0462367907166481,0.04619623348116875,0.046277351677417755,-4.3532490730285645,1.0511581897735596,0.3126862645149231,-1.1625549793243408,3.9276065826416016
99,0.024339325726032257,0.024340322241187096,0.02433832734823227,-4.3519110679626465,1.0501275062561035,0.3126150667667389,-1.1627826690673828,3.9271554946899414
100,0.03870034217834473,0.03867824375629425,0.0387224443256855,-4.355698108673096,1.0542322397232056,0.3125438988208771,-1.1630103588104248,3.926696300506592
101,0.028118979185819626,0.028132043778896332,0.02810591459274292,-4.355456829071045,1.0541173219680786,0.31247270107269287,-1.1632381677627563,3.926426649093628
102,0.03624505177140236,0.0362139567732811,0.03627614676952362,-4.353279113769531,1.05218505859375,0.31240153312683105,-1.163465976715088,3.926039457321167
103,0.035323359072208405,0.035296205431222916,0.03535051643848419,-4.349643707275391,1.0493890047073364,0.3123303949832916,-1.1636936664581299,3.9250574111938477
104,0.025157436728477478,0.025141576305031776,0.02517329715192318,-4.35318660736084,1.0538551807403564,0.3122592866420746,-1.1639213562011719,3.923992156982422
105,0.023496489971876144,0.023500150069594383,0.023492829874157906,-4.352353096008301,1.0538201332092285,0.31218817830085754,-1.1641491651535034,3.923051595687866
106,0.02461010217666626,0.024598022922873497,0.024622179567813873,-4.344685077667236,1.0468460321426392,0.3121170997619629,-1.1643768548965454,3.922215223312378
107,0.025131400674581528,0.025126049295067787,0.025136752054095268,-4.348235607147217,1.051081657409668,0.3120460510253906,-1.1646045446395874,3.9213879108428955
108,0.03953798860311508,0.039486486464738846,0.039589494466781616,-4.345162391662598,1.0489630699157715,0.31197500228881836,-1.1648322343826294,3.9202914237976074
109,0.03301145136356354,0.032996684312820435,0.03302621468901634,-4.340457439422607,1.0453813076019287,0.31190401315689087,-1.1650598049163818,3.9190261363983154
110,0.04297303780913353,0.042960893362760544,0.042985182255506516,-4.347002983093262,1.0529543161392212,0.3118330240249634,-1.1652873754501343,3.917856454849243
111,0.028463032096624374,0.028435878455638885,0.028490185737609863,-4.3425068855285645,1.049290657043457,0.31176209449768066,-1.1655149459838867,3.916882038116455
112,0.018382541835308075,0.01840325817465782,0.01836182363331318,-4.340152740478516,1.0479174852371216,0.31169113516807556,-1.1657425165176392,3.915759563446045
113,0.03783884644508362,0.037853676825761795,0.03782401978969574,-4.340846061706543,1.0492582321166992,0.31162020564079285,-1.1659700870513916,3.9149701595306396
114,0.020813239738345146,0.020824965089559555,0.020801514387130737,-4.339602470397949,1.0482038259506226,0.3115493059158325,-1.166197657585144,3.9146389961242676
115,0.02087782695889473,0.020887866616249084,0.020867785438895226,-4.338658332824707,1.0474765300750732,0.3114784061908722,-1.1664252281188965,3.9142799377441406
116,0.017627567052841187,0.0176574494689703,0.017597684636712074,-4.344719886779785,1.0534372329711914,0.31140750646591187,-1.1666529178619385,3.9142396450042725
