EpisodeIndex,EpisodeReward,EpisodeSteps,AverageReward,TotalAgentSteps,EpisodeQ0,EvaluationStatistic,BufferSize,CriticLoss,ActorLoss,AlphaLoss,EntropyWeight,QValue
673,-76.25015131752157,50,-47.24348166045714,57400,-4.3967509269714355,,20000,0.01638972759246826,4.32526159286499,0.16594542562961578,0.04999999701976776,-4.391206741333008
674,-49.71695047140729,50,-46.5604240933543,57450,-5.557647228240967,,20000,0.03031346946954727,4.9499335289001465,0.1654719114303589,0.04999999701976776,-5.015405654907227
675,-44.02803924062682,50,-44.34354579725849,57500,-3.451911211013794,-42.23672293974379,20000,0.01582391746342182,3.9759867191314697,0.16595891118049622,0.04999999701976776,-4.041945934295654
676,-57.313070072270655,50,-45.38790713461807,57550,-2.915052890777588,,20000,0.02264837920665741,4.717260360717773,0.16452144086360931,0.04999999701976776,-4.781781196594238
677,-24.363204576893228,50,-45.13052723404997,57600,-3.8795876502990723,,20000,0.04138876497745514,4.238287925720215,0.16568003594875336,0.04999999701976776,-4.30396842956543
678,-27.52447330420183,50,-45.40908945781843,57650,-4.233612060546875,,20000,0.012768298387527466,4.229250431060791,0.1664625108242035,0.04999999701976776,-4.295712947845459
679,-60.757013389890446,50,-47.19372284464646,57700,-4.034012317657471,,20000,0.02183045819401741,4.1793293952941895,0.16617096960544586,0.04999999701976776,-4.245500087738037
680,-51.603870554323244,50,-46.54012583679044,57750,-4.2569708824157715,-31.113086951904748,20000,0.07612563669681549,4.560551643371582,0.1659727841615677,0.04999999701976776,-4.626523971557617
681,-23.29701171285417,50,-44.220030710936555,57800,-1.6305736303329468,,20000,0.06487055867910385,4.323705196380615,0.16530480980873108,0.04999999701976776,-4.389009952545166
682,-30.80526084081015,50,-43.81959670971575,57850,-3.793318033218384,,20000,0.057620011270046234,4.967719554901123,0.16661857068538666,0.04999999701976776,-5.034337520599365
683,-42.05466231993939,50,-44.194195566283355,57900,-3.974785327911377,,20000,0.019437821581959724,4.131276607513428,0.16496844589710236,0.04999999701976776,-4.196245193481445
684,-49.516779916281685,50,-45.15300036125344,57950,-2.7479987144470215,,20000,0.05378369987010956,5.003783226013184,0.16514421999454498,0.04999999701976776,-5.068927764892578
685,-71.2781616420297,50,-46.218786353792844,58000,-5.379437446594238,-41.340751200216644,20000,0.025822879746556282,4.95664644241333,0.16561369597911835,0.04999999701976776,-5.0222601890563965
686,-37.601370306814765,50,-45.32031926515404,58050,-3.6146957874298096,,20000,0.014753304421901703,4.691183567047119,0.16513995826244354,0.04999999701976776,-4.756323337554932
687,-80.68712613520664,50,-48.49044034464546,58100,-5.611942768096924,,20000,0.038749195635318756,4.291075706481934,0.16574107110500336,0.04999999701976776,-4.356817245483398
688,-32.1402924272479,50,-46.427637124381974,58150,-4.863157272338867,,20000,0.06932869553565979,4.268091678619385,0.1655394732952118,0.04999999701976776,-4.3336310386657715
689,-60.0079671060472,50,-47.860254145733286,58200,-5.577227592468262,,20000,0.016569456085562706,4.05759859085083,0.16594555974006653,0.04999999701976776,-4.123543739318848
690,-66.12022779949497,50,-49.633672967264374,58250,-5.147660732269287,-31.221603930411465,20000,0.033588655292987823,4.673647880554199,0.16700953245162964,0.04999999701976776,-4.740658283233643
691,-43.10940786896955,50,-49.15192462573278,58300,-4.7695536613464355,,20000,0.03589019924402237,4.311962127685547,0.16504591703414917,0.04999999701976776,-4.377007961273193
692,-26.00674456663497,50,-47.709089278473314,58350,-3.4274637699127197,,20000,0.06010708212852478,4.353335380554199,0.16536086797714233,0.04999999701976776,-4.418696403503418
693,-72.88449571683282,50,-47.540806498438876,58400,-5.491152286529541,,20000,0.023943055421113968,4.597464084625244,0.16628968715667725,0.04999999701976776,-4.663753509521484
694,-42.10181802935436,50,-47.16004987633623,58450,-3.3093910217285156,,20000,0.03598524630069733,4.568596839904785,0.16427302360534668,0.04999999701976776,-4.632869720458984
